Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,3601109,0
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,900208,6571
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,3600969,0
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,3600147,0
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,3600149,0
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,3600170,0
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,900212,7607
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,3601112,0
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,3601124,0
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,4400021,9607
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,3601143,0
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,3600166,0
ACHIEVEMENT HOUSE CS,Pennsylvania,4200128,7380
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,1100072,8289
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,4700147,5412
ACHILLE,Oklahoma,4002370,4393
ACKERMAN CHARTER,California,601680,†
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,400320,4332
ACT ACADEMY CYBER CS,Pennsylvania,4200868,4881
ACTON PUBLIC SCHOOLS,Maine,2302220,6364
ACTON-AGUA DULCE UNIFIED,California,600001,1359
ACTON-BOXBOROUGH,Massachusetts,2501710,10254
ACUSHNET,Massachusetts,2501740,8446
AD PRIMA CS,Pennsylvania,4200129,4806
ADA,Oklahoma,4002430,4654
ADA EXEMPTED VILLAGE,Ohio,3904518,6050
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,2700126,6341
ADAIR,Oklahoma,4002460,3836
ADAIR CO. R-I,Missouri,2922980,5936
ADAIR CO. R-II,Missouri,2905790,7608
ADAIR COUNTY,Kentucky,2100030,5683
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,1903090,6579
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,1700162,†
ADAMS 1 MAPLETON AU,Colorado,800258,†
ADAMS 12 FIVE STAR SCHOOLS,Colorado,806900,6203
ADAMS 12 NORTHGLENN AU,Colorado,800268,†
ADAMS 14 COMMERCE CITY AU,Colorado,800272,†
ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,800237,†
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,1800060,6256
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,3102770,6976
ADAMS COUNTY BOCES,Colorado,800009,†
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,3906190,6032
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,2601890,3647
ADAMS-ARAP 28J AURORA AU,Colorado,800255,†
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,5500060,6795
ADDISON CENTRAL SCHOOL DISTRICT,New York,3602370,12829
ADDISON CENTRAL SUPERVISORY DISTRICT,Vermont,5099903,†
ADDISON COMMUNITY SCHOOLS,Michigan,2601920,4732
ADDISON NORTHWEST SUPERVISORY DISTRICT,Vermont,5099902,†
ADDISON SCHOOL DISTRICT,Vermont,5001710,8423
ADDISON SD 4,Illinois,1703150,6245
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,1903150,6822
ADEL SD 21,Oregon,4100990,13286
ADELANTO ELEMENTARY,California,601710,5739
ADENA LOCAL,Ohio,3904949,5311
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,3605040,10928
ADLAI E STEVENSON HSD 125,Illinois,1732580,11539
ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL,Pennsylvania,4280120,†
ADNA SCHOOL DISTRICT,Washington,5300060,5445
ADRIAN ISD,Texas,4807500,8029
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,2702730,5868
ADRIAN PUBLIC SCHOOLS,Michigan,2601950,5335
ADRIAN R-III,Missouri,2902850,5003
ADRIAN SD 61,Oregon,4101020,6389
ADVANCE R-IV,Missouri,2902880,5100
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,2500085,7864
ADVANCED TECHNOLOGY ACADEMY,Michigan,2600255,0
ADVANTAGE ACADEMY,Texas,4800041,5320
ADVANTAGE ARTS ACADEMY,UTAH,4900198,†
ADVANTAGE CHARTER ACADEMY,LOUISIANA,2200268,4206
AEA 13 GREEN HILLS AEA,Iowa,1999013,†
AFFTON 101,Missouri,2902910,6755
AFSA HIGH SCHOOL,Minnesota,2700186,7916
AFTON,Oklahoma,4002520,4635
AFTON CENTRAL SCHOOL DISTRICT,New York,3602400,15103
AGAMIM CLASSICAL ACADEMY,Minnesota,2700394,6174
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,4600042,7817
AGATE SCHOOL DISTRICT NO. 300,Colorado,801980,†
AGAWAM,Massachusetts,2501800,9384
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,2600106,3884
AGORA CYBER CS,Pennsylvania,4200140,5296
AGRA,Oklahoma,4002550,4561
AGUA DULCE ISD,Texas,4807530,7539
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,400450,4267
AGUILA ELEMENTARY DISTRICT (4249),Arizona,400480,5000
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,802010,7790
AGWSR COMM SCHOOL DISTRICT,Iowa,1903060,7114
AHSTW COMM SCHOOL DISTRICT,Iowa,1904080,5913
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),Arizona,400274,2017
AIKEN 01,South Carolina,4500720,5536
AINSWORTH COMMUNITY SCHOOLS,Nebraska,3102790,7738
AIRLINE CSD,Maine,2302500,7170
AIRPORT COMMUNITY SCHOOLS,Michigan,2601980,4708
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,2702760,7322
AJO UNIFIED DISTRICT (4409),Arizona,400520,5282
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,2200208,7585
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),Arizona,400403,4188
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966),Arizona,400404,7658
AKIN CCSD 91,Illinois,1703210,7689
AKRON CENTRAL SCHOOL DISTRICT,New York,3602430,10621
