Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
CEDAR GROVE-BELGIUM AREA SCHOOL DISTRICT,Wisconsin,5502430,5801
CEDAR HILL ISD,Texas,4813230,5807
CEDAR MOUNTAIN SCHOOL DISTRICT,Minnesota,2700110,7691
CEDAR RAPIDS COMM SCHOOL DISTRICT,Iowa,1906540,7887
CEDAR RIDGE SCHOOL DISTRICT,Arkansas,500070,6619
CEDAR RIVERSIDE COMMUNITY SCHOOL,Minnesota,2700027,7747
CEDAR SPRINGS PUBLIC SCHOOLS,Michigan,2608520,4522
CEDAR TREE ACADEMY PCS,District of Columbia,1100029,11135
CEDAR UNIFIED DISTRICT (4395),Arizona,401810,13567
CEDAR VALE,Kansas,2004500,5995
CEDARBURG SCHOOL DISTRICT,Wisconsin,5502460,5892
CEDARS INTERNATIONAL ACADEMY,Texas,4800232,6308
CEDARVILLE SCHOOL DISTRICT,Arkansas,504080,5592
CELERITY CRESTWORTH CHARTER SCHOOL,LOUISIANA,2200223,7155
CELESTE ISD,Texas,4813260,6522
CELINA CITY,Ohio,3910030,6879
CELINA ISD,Texas,4813290,6276
CEMENT,Oklahoma,4006960,3983
CENTENNIAL BOCES,Colorado,899200,†
CENTENNIAL BOCES AU,Colorado,800226,†
CENTENNIAL PUBLIC SCHOOL DISTRICT,Minnesota,2708100,6915
CENTENNIAL PUBLIC SCHOOLS,Nebraska,3100099,9998
CENTENNIAL SCHOOL DISTRICT NO. R-1,Colorado,806360,7898
CENTENNIAL SD,Pennsylvania,4205190,10051
CENTENNIAL SD 28J,Oregon,4102800,6031
CENTER 58,Missouri,2908250,7764
CENTER CASS SD 66,Illinois,1708970,8945
CENTER CITY PCS,District of Columbia,1100073,10724
CENTER CONSOLIDATED SCHOOL DISTRICT NO. 26 JT. OF THE COUNT,Colorado,802850,6798
CENTER FOR ACADEMIC SUCCESS INC. (4191),Arizona,400016,4469
CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,California,601351,†
CENTER FOR STUDENT ACHIEVEMENT,Ohio,3900585,0
CENTER FOR STUDENT LEARNING CS AT PENNSBURY,Pennsylvania,4200100,9426
CENTER GROVE COMMUNITY SCHOOL CORP,Indiana,1801440,4944
CENTER ISD,Texas,4813320,6089
CENTER JOINT UNIFIED,California,607900,6379
CENTER LINE PUBLIC SCHOOLS,Michigan,2608580,6360
CENTER MORICHES UNION FREE SCHOOL DISTRICT,New York,3606840,14091
CENTER POINT ISD,Texas,4813350,6594
CENTER POINT-URBANA COMM SCHOOL DISTRICT,Iowa,1906660,7059
CENTER-STANTON 1,North Dakota,3800052,7825
CENTERBURG LOCAL,Ohio,3904782,5099
CENTERPOINT SCHOOL DISTRICT,Arkansas,506690,5293
CENTERVILLE CITY,Ohio,3904373,7413
CENTERVILLE COMM SCHOOL DISTRICT,Iowa,1906750,7125
CENTERVILLE ELEM,Montana,3025130,6266
CENTERVILLE H S,Montana,3025140,9797
CENTERVILLE ISD,Texas,4813380,9704
CENTERVILLE ISD,Texas,4813410,7760
CENTERVILLE R-I,Missouri,2908340,6274
CENTERVILLE SCHOOL DISTRICT,Washington,5301050,7780
CENTERVILLE SCHOOL DISTRICT 60-1,South Dakota,4611760,6235
CENTERVILLE-ABINGTON COM SCHS,Indiana,1801560,5797
CENTINELA VALLEY UNION HIGH,California,607920,6922
CENTRAL,Oklahoma,4007140,4380
CENTRAL,New Mexico,3500390,6663
CENTRAL,Kansas,2004230,6606
CENTRAL A & M CUD 21,Illinois,1709100,6271
CENTRAL ACADEMY,Michigan,2600163,279
CENTRAL ACADEMY OF OHIO,Ohio,3901313,24
CENTRAL ARIZONA VALLEY INSTITUTE OF TECHNOLOGY (79385),Arizona,400348,†
CENTRAL BERKSHIRE,Massachusetts,2503390,9882
CENTRAL BROOKLYN ASCEND CHARTER SCHOOL,NEW YORK,3601114,0
CENTRAL BUCKS SD,Pennsylvania,4205310,8260
CENTRAL CALIF MIGRANT HEAD START JPA,California,601376,†
CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,California,601353,†
CENTRAL CAMBRIA SD,Pennsylvania,4205340,6055
CENTRAL CASS 17,North Dakota,3804090,5575
CENTRAL CHSD 71,Illinois,1704770,6274
CENTRAL CITY COMM SCHOOL DISTRICT,Iowa,1906780,6721
CENTRAL CITY CYBERSCHOOL OF MILWAUKEE INC,Wisconsin,5500041,0
CENTRAL CITY PUBLIC SCHOOLS,Nebraska,3104920,7795
CENTRAL CITY SD 133,Illinois,1709180,4061
CENTRAL COLUMBIA SD,Pennsylvania,4205370,6821
CENTRAL COMM SCHOOL DISTRICT,Iowa,1906840,7226
CENTRAL COMMUNITY SCHOOL DISTRICT,Louisiana,2200125,5057
CENTRAL CURRY SD 1,Oregon,4105760,5341
CENTRAL CUSD 3,Illinois,1708220,5531
CENTRAL CUSD 301,Illinois,1707830,6278
CENTRAL CUSD 4,Illinois,1710410,5801
CENTRAL DAUPHIN SD,Pennsylvania,4205400,6572
CENTRAL DECATUR COMM SCHOOL DISTRICT,Iowa,1906900,7312
CENTRAL DEWITT SCHOOL DISTRICT,Iowa,1906810,6423
CENTRAL ELEM 32,North Dakota,3800037,14714
CENTRAL ELEMENTARY,California,607950,6185
CENTRAL FALLS,Rhode Island,4400120,9850
CENTRAL FULTON SD,Pennsylvania,4214850,6445
CENTRAL GREENE SD,Pennsylvania,4205430,7402
CENTRAL HEIGHTS,Kansas,2000014,6301
CENTRAL HEIGHTS ISD,Texas,4813440,5016
CENTRAL HIGH,Oklahoma,4007170,3938
CENTRAL HIGH SCHOOL,Ohio,3901413,2532
CENTRAL IL VOC ED COOP,Illinois,1700289,†
CENTRAL ILL RURAL REGION,Illinois,1700286,†
CENTRAL IN EDUCATION SERVICE CTR,Indiana,1800140,†
CENTRAL ISD,Texas,4813500,6523
CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,New York,3606870,15706
CENTRAL IU 10,Pennsylvania,4289200,†
CENTRAL JERSEY COLLEGE PREP CHARTER SCHOOL,New Jersey,3400090,8248
CENTRAL KENTUCKY EDUCATIONAL COOPERATIVE,Kentucky,2100113,†
CENTRAL KITSAP SCHOOL DISTRICT,Washington,5301080,7615
CENTRAL LAKE PUBLIC SCHOOLS,Michigan,2608610,5797
CENTRAL LAKES ADVENTURE SCHOOL,Minnesota,2700191,6956
CENTRAL LEE COMM SCHOOL DISTRICT,Iowa,1906930,8975
CENTRAL LINN SD 552,Oregon,4102910,6187
CENTRAL LOCAL,Ohio,3904671,6324
CENTRAL LYON COMM SCHOOL DISTRICT,Iowa,1906960,6840
CENTRAL MASSACHUSETTS SPED COLLABORATIVE,MASSACHUSETTS,2500565,†
CENTRAL MINNESOTA E.R.D.C.,Minnesota,2700147,†
CENTRAL MINNESOTA JT. POWERS DIST.,Minnesota,2700143,†
CENTRAL MN ED TELECOM SYSTEM,Minnesota,2700205,†
CENTRAL MONTCALM PUBLIC SCHOOLS,Michigan,2608640,4877
CENTRAL MONTCO TECHNICAL HS,Pennsylvania,4280330,†
CENTRAL MT LEARN RES CTR,Montana,3000029,†
CENTRAL NINE CAREER CENTER,Indiana,1801470,†
CENTRAL NOBLE COM SCHOOL CORP,Indiana,1801710,4673
CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),California,600124,†
CENTRAL PA INSTITUTE OF SCIENCE AND TECHNOLOGY,Pennsylvania,4280530,†
CENTRAL PARK SCHOOL FOR CHILDREN,North Carolina,3700130,5763
CENTRAL PENNSYLVANIA DIGITAL LEARNING FOUNDATION CS,Pennsylvania,4200095,3264
CENTRAL PLAINS,Kansas,2000349,7206
CENTRAL POINT SD 6,Oregon,4102940,4949
CENTRAL PUBLIC SCHOOL DISTRICT,Minnesota,2723910,5942
CENTRAL QUEENS ACADEMY CHARTER SCHOOL,New York,3601056,0
CENTRAL R-III,Missouri,2929170,5733
CENTRAL REGIONAL AREA CAREER & TECHNICAL CENTER,North Dakota,3800391,†
CENTRAL REGIONAL SCHOOL DISTRICT,New Jersey,3402910,10315
CENTRAL RIVERS AEA,Iowa,1999007,†
CENTRAL SAVANNAH RIVER RESA,Georgia,1300015,†
CENTRAL SD 104,Illinois,1709170,5369
CENTRAL SD 13J,Oregon,4102840,5600
CENTRAL SD 51,Illinois,1709150,3678
CENTRAL SIERRA ROP,California,600096,†
CENTRAL SIERRA ROP JPA,California,601400,†
CENTRAL SPRINGS COMM SCHOOL DISTRICT,Iowa,1920760,6374
CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,New York,3606900,10515
CENTRAL STATE HOSPITAL,Virginia,5100045,†
CENTRAL STICKNEY SD 110,Illinois,1737860,6988
CENTRAL SUSQUEHANNA IU 16,Pennsylvania,4289260,†
CENTRAL TECH,Oklahoma,4000058,†
CENTRAL UNIFIED,California,607970,6043
CENTRAL UNION ELEMENTARY,California,607980,7732
CENTRAL UNION HIGH,California,608010,7306
CENTRAL UTAH ED. SERVICES,Utah,4900027,†
CENTRAL VALLEY 3,North Dakota,3804140,7112
CENTRAL VALLEY CSD AT ILION-MOHAWK,New York,3601087,9398
CENTRAL VALLEY PRE-SCHOOL JPA,California,601378,†
CENTRAL VALLEY PUBLIC SCHOOLS,NEBRASKA,3100185,11180
CENTRAL VALLEY SCHOOL DISTRICT,Washington,5301110,6798
CENTRAL VALLEY SD,Pennsylvania,4200824,6695
CENTRAL VALLEY SUPPORT SERVICES JPA,California,601362,†
CENTRAL VIRGINIA GOVERNOR'S SCHOOL,Virginia,5102173,†
CENTRAL VIRGINIA TRAINING CENTER,Virginia,5100050,†
CENTRAL WAKE CHARTER HIGH SCHOOL,NORTH CAROLINA,3700406,9292
CENTRAL WASHINGTON UNIVERSITY,Washington,5300315,†
CENTRAL WESTMORELAND CAREER AND TECHNOLOGY CENTER,Pennsylvania,4280470,†
CENTRAL YORK SD,Pennsylvania,4205490,6682
CENTRALIA COLLEGE,Washington,5300016,†
CENTRALIA ELEMENTARY,California,608070,7127
CENTRALIA HSD 200,Illinois,1709300,6814
CENTRALIA R-VI,Missouri,2908400,5259
CENTRALIA SCHOOL DISTRICT,Washington,5301140,6735
CENTRALIA SD 135,Illinois,1709270,5845
CENTRE,Kansas,2008940,3443
CENTRE LEARNING COMMUNITY CS,Pennsylvania,4200023,7960
CENTREVILLE PUBLIC SCHOOLS,Michigan,2608670,4601
CENTURA PUBLIC SCHOOLS,Nebraska,3162950,7697
CENTURY CUSD 100,Illinois,1739630,5927
CERES UNIFIED,California,608130,6870
CERRO GORDO CUSD 100,Illinois,1709330,5144
CESA,Florida,1200005,†
CESAR CHAVEZ ACADEMY,Michigan,2600139,0
CESAR CHAVEZ COLLEGE PREPARATORY SCHOOL,Ohio,3901335,0
CESAR CHAVEZ COMMUNITY  SCHOOL,New Mexico,3500117,4578
CESAR CHAVEZ PCS FOR PUBLIC POLICY,District of Columbia,1100005,11410
CHADRON PUBLIC SCHOOLS,Nebraska,3104980,7470
CHADWICK R-I,Missouri,2908430,5872
CHADWICK-MILLEDGEVILLE CUSD 399,Illinois,1709400,6226
CHAFFEE R-II,Missouri,2908460,4322
CHAFFEY JOINT UNION HIGH,California,608160,7380
CHAGRIN FALLS EXEMPTED VILLAGE,Ohio,3904528,8202
CHALLENGE PREPARATORY CHARTER SCHOOL,New York,3601018,0
CHALLENGE SCHOOL INC. (6362),Arizona,400135,3916
CHALLENGER BASIC SCHOOL INC. (79886),Arizona,400359,3845
CHALLIS JOINT DISTRICT,Idaho,1600720,6328
CHAMA VALLEY,New Mexico,3500420,8674
CHAMBERLAIN SCHOOL DISTRICT 07-1,South Dakota,4612000,6698
CHAMBERS COUNTY,Alabama,100600,5362
CHAMBERS PUBLIC SCHOOLS,Nebraska,3105010,11795
CHAMBERSBURG AREA SD,Pennsylvania,4205550,5826
CHAMPAIGN CUSD 4,Illinois,1709420,7495
CHAMPAIGN/FORD ROE,Illinois,1700171,†
CHAMPIE ELEMENTARY DISTRICT (4477),Arizona,401830,†
CHAMPION LOCAL,Ohio,3905013,5821
CHAMPLAIN VALLEY SUPERVISORY DISTRICT,Vermont,5099914,†
CHAMPLAIN VALLEY UHSD #15,Vermont,5003030,8116
CHANDLER,Oklahoma,4007290,3730
CHANDLER PARK ACADEMY,Michigan,2600168,0
CHANDLER PREPARATORY ACADEMY (88299),Arizona,400440,4323
CHANDLER UNIFIED DISTRICT #80 (4242),Arizona,401870,4635
CHANDLER WOODS CHARTER ACADEMY,Michigan,2600209,0
CHANEY-MONGE SD 88,Illinois,1709510,4966
CHANNAHON SD 17,Illinois,1709540,5797
CHANNELVIEW ISD,Texas,4813590,5927
CHANNING HALL,Utah,4900040,3810
CHANNING ISD,Texas,4813620,6747
CHANUTE PUBLIC SCHOOLS,Kansas,2004590,5238
CHAPARRAL SCHOOLS,Kansas,2003390,5966
CHAPARRAL STAR ACADEMY,Texas,4800064,4116
CHAPEL HILL ACADEMY,Texas,4801407,4863
CHAPEL HILL ISD,Texas,4813680,5825
CHAPEL HILL ISD,Texas,4813650,6055
CHAPEL HILL-CARRBORO CITY SCHOOLS,North Carolina,3700720,8026
CHAPELSIDE CLEVELAND ACADEMY,Ohio,3901527,0
CHAPLIN SCHOOL DISTRICT,Connecticut,900720,13899
CHAPMAN,Kansas,2004620,6334
CHAPPAQUA CENTRAL SCHOOL DISTRICT,New York,3606990,16452
CHARDON LOCAL,Ohio,3904718,6642
CHARIHO,Rhode Island,4400150,9970
CHARITON COMM SCHOOL DISTRICT,Iowa,1907050,6578
CHARLEROI SD,Pennsylvania,4205640,6450
CHARLES A TINDLEY ACCELERATED SCH,Indiana,1800045,7604
CHARLES CITY COMM SCHOOL DISTRICT,Iowa,1907080,7258
CHARLES CITY COUNTY PUBLIC SCHOOLS,Virginia,5100720,8418
CHARLES COUNTY PUBLIC SCHOOLS,Maryland,2400270,8926
CHARLES SCHOOL AT OHIO DOMINICAN UNIVERSITY,Ohio,3900586,0
CHARLESTON 01,South Carolina,4501440,5899
CHARLESTON CUSD 1,Illinois,1709600,4485
CHARLESTON R-I,Missouri,2908670,5560
CHARLESTON SCHOOL DISTRICT,Arkansas,504200,5164
CHARLESTON SCHOOL DISTRICT,Vermont,5003060,8655
CHARLEVOIX ACADEMY,Michigan,2600070,0
CHARLEVOIX PUBLIC SCHOOLS,Michigan,2608730,5509
CHARLEVOIX-EMMET ISD,Michigan,2680240,†
CHARLO ELEM,Montana,3006112,6101
CHARLO H S,Montana,3006115,8619
CHARLOTTE,Florida,1200240,5527
CHARLOTTE COUNTY PUBLIC SCHOOLS,Virginia,5100750,7412
CHARLOTTE ISD,Texas,4813710,7583
CHARLOTTE LAB SCHOOL,NORTH CAROLINA,3700391,4879
CHARLOTTE LEARNING ACADEMY,North Carolina,3700357,4381
CHARLOTTE PUBLIC SCHOOLS,Maine,2304160,6404
CHARLOTTE PUBLIC SCHOOLS,Michigan,2608770,4627
CHARLOTTE SCHOOL DISTRICT,Vermont,5003090,8105
CHARLOTTE SECONDARY SCHOOL,North Carolina,3700143,4178
CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,New York,3607050,11453
CHARLOTTE-MECKLENBURG SCHOOLS,North Carolina,3702970,5691
CHARLOTTESVILLE CITY PUBLIC SCHOOLS,Virginia,5100780,10123
CHARLOTTESVILLE-ALBEMARLE VOCATIONAL-TECHNICAL CENTER,Virginia,5100003,†
CHARLTON COUNTY,Georgia,1300990,5845
CHARLTON HESTON ACADEMY,Michigan,2601028,0
CHARMS COLLABORATIVE,MASSACHUSETTS,2500576,†
CHARTER HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,Pennsylvania,4200053,6485
CHARTER HIGH SCHOOL FOR LAW AND SOCIAL JUSTICE,NEW YORK,3601133,0
CHARTER OAK UNIFIED,California,608190,6679
CHARTER OAK-UTE COMM SCHOOL DISTRICT,Iowa,1907110,7596
CHARTER SCHOOL FOR APPLIED TECHNOLOGIES,New York,3600025,0
CHARTER SCHOOL INSTITUTE AU,Colorado,800266,†
CHARTER SCHOOL OF EDUCATIONAL EXCELLENCE,New York,3600155,0
CHARTER SCHOOL OF INQUIRY,NEW YORK,3601135,0
CHARTER SCHOOL OF NEW CASTLE,Delaware,1000024,5404
CHARTER SCHOOL OF THE DUNES,Indiana,1800027,5317
CHARTER SCHOOL OF WILMINGTON,Delaware,1000004,5676
CHARTERTECH HIGH SCHOOL FOR THE PERFORMING ARTS,New Jersey,3400019,9879
CHARTIERS VALLEY SD,Pennsylvania,4205700,9270
CHARTIERS-HOUSTON SD,Pennsylvania,4205730,6460
CHARYL STOCKWELL ACADEMY,Michigan,2600100,0
CHASE COUNTY,Kansas,2005250,7467
CHASE COUNTY SCHOOLS,Nebraska,3100163,6632
CHASE-RAYMOND,Kansas,2004650,7703
CHASSELL TOWNSHIP SCHOOL DISTRICT,Michigan,2608880,3788
CHATEAUGAY CENTRAL SCHOOL DISTRICT,New York,3607080,11832
CHATFIELD PUBLIC SCHOOLS,Minnesota,2708220,6172
CHATFIELD SCHOOL,Michigan,2600151,0
CHATHAM CENTRAL SCHOOL DISTRICT,New York,3607110,13741
CHATHAM CHARTER,North Carolina,3700020,4325
CHATHAM COUNTY SCHOOLS,North Carolina,3700750,6069
CHATHAM SCHOOL DISTRICT,New Hampshire,3302200,†
CHATHAM SCHOOL DISTRICT,Alaska,200730,12633
CHATOM UNION,California,608250,6552
CHATTAHOOCHEE COUNTY,Georgia,1301050,6994
CHATTAHOOCHEE-FLINT RESA,Georgia,1300016,†
CHATTANOOGA,Oklahoma,4007320,5182
CHATTOOGA COUNTY,Georgia,1301080,5581
CHAUTAUQUA CO COMMUNITY,Kansas,2011520,5700
CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,New York,3600018,12411
CHAWANAKEE UNIFIED,California,600116,5970
CHAZY UNION FREE SCHOOL DISTRICT,New York,3607170,10426
CHEATHAM COUNTY,Tennessee,4700570,5022
CHEB-OTSEGO-PRESQUE ISLE ESD,Michigan,2680260,†
CHEBEAGUE ISLAND PUBLIC SCHOOLS,Maine,2314771,7038
CHEBOYGAN AREA SCHOOLS,Michigan,2608910,4969
CHECOTAH,Oklahoma,4007350,4358
CHEEKTOWAGA CENTRAL SCHOOL DISTRICT,New York,3607230,10112
CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,New York,3618600,8972
CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,New York,3627000,11745
CHEHALIS SCHOOL DISTRICT,Washington,5301170,6964
CHELMSFORD,Massachusetts,2503510,8820
CHELSEA,Massachusetts,2503540,8438
CHELSEA,Oklahoma,4007380,4169
CHELSEA SCHOOL DISTRICT,Michigan,2608940,6437
CHELSEA SCHOOL DISTRICT,Vermont,5003120,8545
CHELTENHAM SD,Pennsylvania,4205760,10847
CHENANGO FORKS CENTRAL SCHOOL DISTRICT,New York,3607260,9532
CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,New York,3607290,10050
CHENEY,Kansas,2004670,5831
CHENEY SCHOOL DISTRICT,Washington,5301230,6648
CHEQUAMEGON SCHOOL DISTRICT,Wisconsin,5500058,7569
CHERAW SCHOOL DISTRICT NO. 31 IN THE COUNTY OF OTERO AND S,Colorado,802880,5963
CHEROKEE,Kansas,2004710,8200
CHEROKEE,Oklahoma,4007410,7020
CHEROKEE 01,South Carolina,4501500,5807
CHEROKEE CENTRAL SCHOOLS,North Carolina,3700153,†
CHEROKEE COMM SCHOOL DISTRICT,Iowa,1907170,6841
CHEROKEE COUNTY,Georgia,1301110,5819
CHEROKEE COUNTY,Alabama,100630,5468
CHEROKEE COUNTY SCHOOLS,North Carolina,3700780,6425
CHEROKEE IMMERSION CHARTER,Oklahoma,4000755,11236
CHEROKEE ISD,Texas,4813740,10622
CHERRY CREEK SCHOOL DISTRICT NO. 5 IN THE COUNTY OF ARAPAH,Colorado,802910,7015
CHERRY HILL SCHOOL DISTRICT,New Jersey,3403000,9321
CHERRY SD 92,Illinois,1709720,†
CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,New York,3600006,11014
CHERRYFIELD PUBLIC SCHOOLS,Maine,2314814,4757
CHERRYVALE,Kansas,2004740,5956
CHESANING UNION SCHOOLS,Michigan,2609150,4602
CHESAPEAKE BAY GOVERNOR'S SCHOOL,Virginia,5100034,†
CHESAPEAKE CITY PUBLIC SCHOOLS,Virginia,5100810,6798
CHESAPEAKE UNION EXEMPTED VILLAGE,Ohio,3904529,5257
CHESHIRE SCHOOL DISTRICT,Connecticut,900750,10447
CHESTER 01,South Carolina,4501530,5833
CHESTER AREA SCHOOL DISTRICT 39-1,South Dakota,4612300,4914
CHESTER CHARTER SCHOLARS ACADEMY CS,Pennsylvania,4200857,6821
CHESTER CO FAMILY ACADEMY CS,Pennsylvania,4200012,5755
CHESTER COMMUNITY CS,Pennsylvania,4200035,5647
CHESTER COUNTY,Tennessee,4700600,4980
CHESTER COUNTY IU 24,Pennsylvania,4289340,†
CHESTER COUNTY TECHNICAL COLLEGE HIGH SCHOOL,Pennsylvania,4202900,†
CHESTER CUSD 139,Illinois,1709810,4928
CHESTER ISD,Texas,4813770,6345
CHESTER N HSD 122,Illinois,1700333,†
CHESTER SAU OFFICE,New Hampshire,3300046,†
CHESTER SCHOOL DISTRICT,New Hampshire,3302250,4641
CHESTER SCHOOL DISTRICT,Connecticut,900780,14311
CHESTER SCHOOL DISTRICT,Vermont,5003150,†
CHESTER TOWNSHIP SCHOOL DISTRICT,New Jersey,3403060,11754
CHESTER UNION FREE SCHOOL DISTRICT,New York,3607380,11858
CHESTER-ANDOVER USD #29,Vermont,5008245,9978
CHESTER-EAST LINCOLN CCSD 61,Illinois,1709850,5301
CHESTER-JOPLIN-INVERNESS EL,Montana,3000098,5151
CHESTER-JOPLIN-INVERNESS HS,Montana,3000101,10796
CHESTER-UPLAND SD,Pennsylvania,4205860,7183
CHESTERFIELD 01,South Carolina,4501560,5696
CHESTERFIELD COUNTY PUBLIC SCHOOLS,Virginia,5100840,5643
CHESTERFIELD SCHOOL DISTRICT,New Hampshire,3302280,6024
CHESTERFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,3403090,7718
CHESTERFIELD-GOSHEN,Massachusetts,2500014,12200
CHESTNUT RIDGE SD,Pennsylvania,4205880,5789
CHETEK-WEYERHAEUSER AREA SCHOOL DISTRICT,Wisconsin,5500061,6829
CHETOPA-ST. PAUL,Kansas,2004770,6740
CHEVELON BUTTE SCHOOL DISTRICT (4198),Arizona,401920,†
CHEWELAH SCHOOL DISTRICT,Washington,5301260,7136
CHEYENNE,Oklahoma,4007500,7123
CHEYENNE COUNTY SCHOOL DISTRICT NO. RE-5,Colorado,800001,8000
CHEYENNE MOUNTAIN SCHOOL DISTRICT NO. 12 IN THE COUNTY OF E,Colorado,802940,5370
CHEYLIN,Kansas,2004790,7729
CHICAGO HEIGHTS SD 170,Illinois,1709960,7258
CHICAGO PARK ELEMENTARY,California,608340,5429
CHICAGO PUBLIC SCHOOLS DIST 299,Illinois,1709930,6236
CHICAGO RIDGE SD 127-5,Illinois,1709990,6068
CHICHESTER SCHOOL DISTRICT,New Hampshire,3302310,6078
CHICHESTER SD,Pennsylvania,4205910,9252
CHICKAMAUGA CITY,Georgia,1301140,5371
CHICKASAW CITY,Alabama,100188,4969
CHICKASAW CO SCHOOL DIST,Mississippi,2800960,4454
CHICKASHA,Oklahoma,4007560,4579
CHICO ISD,Texas,4813800,7287
CHICO UNIFIED,California,608370,5648
CHICOPEE,Massachusetts,2503660,9713
CHIEF TAHGEE ELEMENTARY ACADEMY INC.,Idaho,1600163,7758
CHILD GUIDANCE SCHOOL,Nebraska,3100152,†
CHILDREN'S AID COLLEGE PREPARATORY CHARTER SCHOOL,New York,3601066,0
CHILDREN'S VILLAGE ACADEMY,North Carolina,3700031,4935
CHILDRESS ISD,Texas,4813860,6245
CHILHOWEE R-IV,Missouri,2908730,6340
CHILLICOTHE CITY,Ohio,3904374,6053
CHILLICOTHE ISD,Texas,4813890,8714
CHILLICOTHE R-II,Missouri,2908760,6281
CHILTON COUNTY,Alabama,100660,4747
CHILTON ISD,Texas,4813920,6568
CHILTON SCHOOL DISTRICT,Wisconsin,5502520,5928
CHIMACUM SCHOOL DISTRICT,Washington,5301290,7209
CHINA SPRING ISD,Texas,4813960,5344
CHINLE UNIFIED DISTRICT (4158),Arizona,401940,7082
CHINO VALLEY UNIFIED,California,608460,6064
CHINO VALLEY UNIFIED DISTRICT (4474),Arizona,400003,3804
CHINOOK ELEM,Montana,3006260,5706
CHINOOK H S,Montana,3006270,8409
CHIPPEWA FALLS AREA UNIFIED SCHOOL DISTRICT,Wisconsin,5502550,5774
CHIPPEWA HILLS SCHOOL DISTRICT,Michigan,2609560,5077
CHIPPEWA LOCAL,Ohio,3905053,5552
CHIPPEWA VALLEY SCHOOLS,Michigan,2609570,5121
CHIRENO ISD,Texas,4813980,6283
CHISAGO LAKES SCHOOL DISTRICT,Minnesota,2700017,6853
CHISHOLM,Oklahoma,4021780,3890
CHISHOLM PUBLIC SCHOOL DISTRICT,Minnesota,2708910,6843
CHISHOLM TRAIL TECHNOLOGY CTR,Oklahoma,4000068,†
CHISUM ISD,Texas,4800012,5932
CHITTENANGO CENTRAL SCHOOL DISTRICT,New York,3607470,10236
CHITTENDEN CENTRAL SUPERVISORY UNION,Vermont,5099913,†
CHOCTAW CO SCHOOL DIST,Mississippi,2800990,6714
CHOCTAW COUNTY,Alabama,100690,5808
CHOCTAW NATION ILC,Oklahoma,4000763,†
CHOCTAW-NICOMA PARK,Oklahoma,4007620,3725
CHOICE ACADEMIES INC. (90138),Arizona,400805,3643
CHOICE CHARTER SCHOOL,New York,3601044,0
CHOKIO-ALBERTA PUBLIC SCHOOLS,Minnesota,2708940,7702
CHOLLA ACADEMY (5186),Arizona,400402,5293
CHOTEAU ELEM,Montana,3006320,5358
CHOTEAU H S,Montana,3006330,7323
CHOUTEAU,Montana,3000018,†
CHOUTEAU CO JOINT SERVICE,Montana,3000001,†
CHOUTEAU-MAZIE,Oklahoma,4007670,5600
CHOWCHILLA ELEMENTARY,California,608520,6030
CHOWCHILLA UNION HIGH,California,608550,6321
CHRISTA MCAULIFFE CHARTER SCHOOL (DISTRICT),Massachusetts,2500068,9038
CHRISTEL HOUSE ACADEMY SOUTH,Indiana,1800018,5085
CHRISTEL HOUSE ACADEMY WEST,INDIANA,1800149,5347
CHRISTEL HOUSE DORS,Indiana,1800122,3272
CHRISTEL HOUSE DORS WEST,INDIANA,1800166,3943
CHRISTIAN COUNTY,Kentucky,2101150,5585
CHRISTIAN/MONTGOMERY EFE SYSTEM,Illinois,1700241,†
CHRISTINA SCHOOL DISTRICT,Delaware,1000200,10415
CHRISTOPHER COLUMBUS CS,Pennsylvania,4200052,5738
CHRISTOPHER USD 99,Illinois,1700217,5331
CHRISTOPHER VERDE SCHOOL DISTRICT,Arizona,400749,†
CHRISTOVAL ISD,Texas,4814010,6273
CHSD 117,Illinois,1703870,7501
CHSD 128,Illinois,1722830,13808
CHSD 155,Illinois,1711370,9018
CHSD 218,Illinois,1706540,11806
CHSD 94,Illinois,1740440,7822
CHSD 99,Illinois,1712570,11278
CHUALAR UNION,California,608580,5607
CHUGACH SCHOOL DISTRICT,Alaska,200800,5824
CHULA VISTA ELEMENTARY,California,608610,6550
CHURCH SCHOOL DISTRICT,Michigan,2609630,6800
CHURCHILL,Nevada,3200030,5987
CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT,New York,3607530,10154
CICERO PREPARATORY ACADEMY (92316),Arizona,400900,3789
CICERO SD 99,Illinois,1710200,7055
